frame,timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,person,posture,trial
34,1786865015.313340,0,0,73,373,460,665,572,659,489,0,0,0,225,293,287,325,394,659,919,803,821,693,615,499,0,0,211,47,1117,1300,1259,933,yewon,lean_left,1
35,1786865015.313896,0,0,77,381,471,658,569,655,487,0,0,0,227,295,294,328,383,664,919,797,809,681,601,477,0,0,99,39,1128,1300,1253,919,yewon,lean_left,1
36,1786865015.314452,0,0,81,393,477,651,565,653,485,0,0,0,227,307,300,329,376,667,917,793,793,667,590,465,0,0,0,30,1134,1305,1245,907,yewon,lean_left,1
37,1786865015.315018,0,0,83,397,482,639,559,651,474,0,0,0,223,303,309,331,361,665,915,786,767,653,571,453,0,0,0,24,1133,1303,1236,894,yewon,lean_left,1
38,1786865015.315634,0,0,90,401,487,631,551,639,441,0,0,0,227,310,316,332,357,658,913,773,757,634,557,441,0,0,0,0,1125,1303,1239,875,yewon,lean_left,1
39,1786865015.316200,0,0,111,407,491,623,549,633,425,0,0,0,225,314,331,335,349,649,905,776,739,617,543,427,0,0,0,0,1119,1300,1224,863,yewon,lean_left,1
40,1786865015.316701,0,0,122,408,489,619,541,628,415,0,0,0,223,343,344,347,340,639,891,767,733,605,535,421,0,0,0,0,1113,1298,1211,857,yewon,lean_left,1
41,1786865015.317197,0,0,125,411,491,614,533,620,403,0,0,0,231,355,355,360,342,635,885,765,727,597,531,419,0,0,0,0,1109,1301,1211,845,yewon,lean_left,1
42,1786865015.317682,0,0,132,409,492,606,521,613,383,0,0,0,235,366,365,370,343,623,871,759,717,585,525,415,0,0,0,0,1101,1299,1207,843,yewon,lean_left,1
43,1786865015.318180,0,0,138,412,493,599,505,606,373,0,0,0,248,377,373,377,347,603,856,756,709,575,523,409,0,0,0,0,1083,1288,1195,839,yewon,lean_left,1
